	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновить	обновить	обновить	обновить	обновить	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
7	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
8	перейти	перейти	перейти	перейти	перейти	перейти
9	вид	тип	вид	тип	вид	вид
10	вводный	вводный	вводный	ввод	вводный	ввод
11	тип	тип	тип	тип	тип	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
18	ввод	вводный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
24	вход	вводный	вход	ввод	вход	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	счёт-фактура	счёт-фактура	счёт-фактура	счёт-фактура	счёт-фактура	фактурирование
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁5
28	связь	связь	связь	связь	связь	связь
29	группировать	группировать	группировать	group	группировать	группировать
30	вид	тип	вид	тип	вид	вид
31	договорный	контракт	договорный	контракт	договорный	договор
32	объём	объём	объём	объём	объём	объём
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁2	▔	мэппинг	▔	мэппинг
35	сводка	сводка	сводка	сводка	сводка	резюме
36	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	обработать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	планирование	расписание	запланировать
41	дать	вводный	дать	ввод	дать	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
44	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	вводный	вводный	вводный	ввод	вводный	ввод
47	вид	тип	вид	тип	вид	вид
48	график	расписание	график	планирование	график	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период хранение	период хранение	период хранение	активный хранение	период хранение	период активный хранение
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁2	сопоставление	мэппинг	сопоставление	мэппинг
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	отметить	отметить	отметить	отметить	отметить	отметить
58	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
59	транзакция	транзакция	транзакция	движение	транзакция	движение
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	активный хранение	период хранение	активный хранение	активный хранение	активный хранение	период активный хранение
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
66	▔	▁1	▔	▁	▔	▁1
67	скопировать	скопировать	скопировать	скопировать	скопировать	копирование
68	накопление	накопление	накопление	накопление	накопление	▁0
69	вид	тип	вид	тип	вид	вид
70	использование	использование	использование	использование	использование	использование
71	тип	тип	тип	тип	тип	вид
72	планирование	расписание	планирование	планирование	планирование	запланировать
73	▔	тип	▔	тип	▔	вид
74	вывод	вывод	вывод	вывод	вывод	вывод
75	ввод	вводный	ввод	ввод	ввод	ввод
76	вид	тип	вид	тип	вид	вид
77	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	обработать
80	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность
81	ввод	вводный	ввод	ввод	ввод	ввод
82	соединение	соединение	соединение	соединение	соединение	соединение
83	среда	пространство	среда	пространство	среда	пространство
84	накопление	накопление	накопление	накопление	накопление	▁0
85	период активный хранение	период хранение	период активный хранение	активный хранение	период активный хранение	период активный хранение
86	контракт	контракт	контракт	контракт	контракт	договор
87	▔	▁0	▔	сборка	▔	сборка
88	копирование	скопировать	копирование	скопировать	копирование	копирование
89	планирование	расписание	планирование	планирование	планирование	запланировать
90	накопление	накопление	накопление	накопление	накопление	▁0
91	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	планирование	расписание	планирование	планирование	планирование	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановка	приостановка	приостановка	приостановка	приостановка	приостановка
98	контент	контент	контент	контент	контент	контент
99	▔	▁5	▔	настроить	▔	настроить
100	тредд	тредд	тредд	тредд	тредд	▁17
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
102	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
103	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активация	активация	активация	активация	активация	активация
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчёт	отчёт	отчёт	отчёт	отчёт	отчёт
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	провайдер	поставщик	поставщик	поставщик	поставщик
115	планирование	расписание	планирование	планирование	планирование	запланировать
116	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
117	▔	▁3	▔	курс	▔	курс
118	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	вид
121	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁8
123	редактировать	редактировать	редактировать	редактировать	редактировать	обработать
124	провайдер	провайдер	провайдер	поставщик	провайдер	поставщик
125	планирование	расписание	планирование	планирование	планирование	запланировать
126	скопировать	скопировать	скопировать	скопировать	скопировать	копирование
127	▔	редактировать	▔	редактировать	▔	обработать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
