	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁31
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	elemento
6	nivel	nivel	nivel	explosión	nivel	▁47
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	▁73
9	fuente	fuente	fuente	origen	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁55
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	bajo	bajo	bajo	bajo	bajo	▁102
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁24
24	programa	programa	programa	horario	programa	programación
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completar	completado	completar
27	pausa	pausa	pausa	pausar	pausa	▁61
28	uso	uso	uso	uso	uso	uso
29	programación	programa	programación	horario	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	cronograma	programa	cronograma	horario	cronograma	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁34
34	rango	rango	rango	rango	rango	▁73
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁100
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁75
40	▔	▁3	▔	▁1	▔	▁70
41	programado	programa	programado	horario	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
