	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁22
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	tarea	trabajo	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	posición	posición	posición	elemento	posición	elemento
6	explosión	explosión	explosión	explosión	explosión	▁39
7	agregar	agregar	agregar	añadir	agregar	agregar
8	gama	gama	gama	intervalo	gama	intervalo
9	origen	origen	origen	fuente	origen	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	origen	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablecer	restablecer	restablecer	reinicia	restablecer	restablecer
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	incidencia
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	anular	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reinicia	restablecer	reinicia	reinicia	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁15
24	programación	programación	programación	programación	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	concluido	completar	concluir
27	interrumpir	interrumpir	interrumpir	detener	interrumpir	detener
28	▔	▁1	▔	usar	▔	usar
29	programación	programación	programación	programación	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	programación	programación	programación	programación	programación
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo	puesto de trabajo	centro de trabajo
33	deudor	deudor	deudor	deudor	deudor	deudor
34	intervalo	gama	intervalo	intervalo	intervalo	intervalo
35	envío	envío	envío	envío	envío	▁30
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinible	predefinible	predefinible	predeterminado	predefinible	▁29
44	reinicializar	restablecer	reinicializar	reinicia	reinicializar	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁61
46	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	trabajo	tarea	tarea	tarea	job
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluido	completar	concluido	concluido	concluido	concluir
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	mosaico	nuevo versión	▁64
55	resultado	resultado	resultado	resultado	resultado	▁65
56	programación	programación	programación	programación	programación	programación
57	tarea	trabajo	tarea	tarea	tarea	job
58	deudor/acreedor	deudor	deudor/acreedor	deudor	deudor/acreedor	deudor
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁69
61	revisión	revisión	revisión	revisión	revisión	revisión
62	característica	característica	característica	característica	característica	característica
63	deudor	deudor	deudor	deudor	deudor	deudor
64	llamar	llamar	llamar	llamar	llamar	llamar
65	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	definir
68	cambio	cambio	cambio	cambio	cambio	▁17
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	predefinible	predefinible	predefinible	predeterminado	predefinible	▁29
74	anular	ignorar	anular	anular	anular	ignorar
75	indicador	indicador	indicador	indicador	indicador	indicador
76	transacción	transacción	transacción	transacción	transacción	▁73
77	deudor	deudor	deudor	deudor	deudor	deudor
78	record	record	record	record	record	▁60
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	desempeño	desempeño	desempeño	desempeño	desempeño	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	clase
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programa	programación	programa	programación	programa	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	agregar	añadir	añadir	añadir	agregar
87	▔	▁0	▔	imputación	▔	imputación
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	imputación	▁0	imputación	imputación	imputación	imputación
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	incidencia
92	consumo	consumo	consumo	consumo	consumo	▁21
93	imputación	▁0	imputación	imputación	imputación	imputación
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	información	información	información	información	información	▁45
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁67
98	tarea	trabajo	tarea	tarea	tarea	job
