	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si quiere usar procesamiento paralelo para este job:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	['procesamiento paralelo', 'job']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en la lista los elementos de facturación del report con o sin prepagos planificados.	['report']	{'report': 'report'}	['report']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la media en días de la edad de los activos en construcción, y los elementos individuales se listan a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección del software durante su ciclo de vida completo.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es una ensamblaje, el desglose continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'desglose'}	['desglose']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Añadir un Nuevo Cliente OAuth (No Centro de Datos SAP)	['add']	{'add': 'Añadir'}	['añadir']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo proporciona un número determinado de vCPUs y un intervalo de 60 a 64 GB de RAM, según el hyperscaler.	['range']	{'range': 'intervalo'}	['intervalo']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT se admiten hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Una vez que cree un nuevo modelo, se le dirigirá a la página del modelo, para agregar bloques de texto al modelo.	['template']	{'template': 'modelo'}	['modelo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Los datos se acceden directamente de la fuente (federación) y se leen de la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar Generador de Residuos por Defecto	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'filtros'}	['filtro']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar elementos existentes o conjuntos de elementos para añadir nuevos a los proyectos de adquisición.	['add']	{'add': 'añadir'}	['añadir']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos o incidencias individuales.	['incident']	{'incident': 'incidencias'}	['incidencia']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Use la lista desplegable en la esquina superior izquierda del cuadro de diálogo para seleccionar el modelo de búsqueda que quiera usar.	['template']	{'template': 'modelo'}	['modelo']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo ER en SAP HANA, seleccione Desplegar.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	"Confirme la acción de escritura y verifique que los elementos seleccionados hayan pasado de la pestaña ""A Facturar"" a la pestaña ""A Anular""."	['write off', 'tab']	{'write off': 'Anular', 'tab': 'pestaña'}	['anular', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Establece un plan de pagos si hay uno o más ítems abiertos en la cuenta de contrato de un socio y el socio no puede cumplir la obligación de pago dentro del ámbito de las normas usuales de pago.	['partner', 'rule']	{'partner': 'socio', 'rule': 'normas'}	['socio', 'norma']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se realiza la valoración y si se restablece.	['reset']	{'reset': 'restablece'}	['restablecer']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	"Elige ""Items de Parte de Servicio"" como categoría del elemento desde la lista de mostrar."	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	"Para filtrar las operaciones de orden que están incluidas en un programa específico, agregue el filtro ""Incluido en el Programa"" a la barra de filtros."	['schedule']	{'schedule': 'programa'}	['programa']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo puede editar encabezados de unidades inactivas.	['edit']	{'edit': 'editar'}	['editar']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Esta visión general contiene todos los objetos de reparación que aún no están concluido.	['completed']	{'completed': 'concluido'}	['concluir']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausar la replicación en tiempo real para permitir la edición de las propiedades de la conexión.	['pause']	{'pause': 'pausar'}	['pausar']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad de negocio para que pueda utilizarse en modelos de hechos y modelos de consumo.	['use']	{'use': 'utilizarse'}	['utilizar']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio del centro de trabajo solo es visible en su programación y no se ha guardado aún en el orden de mantenimiento.	['schedule']	{'schedule': 'programación'}	['programación']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Para eliminar una clave de activación, haga clic en la primera columna de la fila correspondiente y luego haga clic en Eliminar.	['delete']	{'delete': 'Eliminar'}	['eliminar']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Modifica tus calendarios de ordenes para priorizar los pedidos vencidos o retrasados .	['schedule']	{'schedule': 'calendarios'}	['calendario']
29	{'work center': 'puesto de trabajo'}	Reviewers do not require any work center assignment.	Los revisores no requieren ningún puesto de trabajo asignado.	['work center']	{'work center': 'puesto de trabajo'}	['puesto de trabajo']
30	{'customer': 'deudor'}	For correspondence with the customer/supplier	Para correspondencia con el deudor/acreedor	['customer']	{'customer': 'deudor'}	['deudor']
31	{'range': 'intervalo'}	Within a time range	Dentro de un intervalo de tiempo	['range']	{'range': 'intervalo'}	['intervalo']
32	{'delivery': 'entrega'}	Only one data delivery is provided without any additional corrections or updates.	Solo se proporciona una entrega de datos sin correcciones ni actualizaciones adicionales.	['delivery']	{'delivery': 'entrega'}	['entrega']
33	{'processing': 'procesamiento'}	If the credit memos are processed successfully, the system posts a document during the processing of the payment advice note by means of the amount credited and, if necessary, charges are posted.	Si los memorandos de crédito se procesan correctamente, el sistema crea un documento durante el procesamiento de la nota de pago mediante el importe que se ha concedido y, si es necesario, se cargan las cargas.	['processing']	{'processing': 'procesamiento'}	['procesamiento']
34	{'upgrade': 'upgrade'}	Post-upgrade test processes	Procesos de prueba post-actualización	['upgrade']	{'upgrade': 'actualización'}	['actualización']
35	{'tab': 'pestaña'}	You can see these items on the To Be Written Off  tab and verify that they're non-billable by looking at the Billing Control Category column.	"Puede ver estos elementos en la pestaña ""A escribirse"" y verificar que sean no facturables revisando la columna ""Categoría de control de facturación""."	['tab']	{'tab': 'pestaña'}	['pestaña']
36	{'recurrence pattern': 'patrón de repetición'}	Define Recurrence Pattern	Definir patrón de recurrencia	['recurrence pattern']	{'recurrence pattern': 'patrón de recurrencia'}	['patrón de recurrencia']
37	{'public': 'pública'}	To directly consume data in data flows, the Oracle database must be available on the public internet.	Para consumir directamente los datos en los flujos de datos, la base de datos Oracle debe estar disponible en la internet pública.	['public']	{'public': 'pública'}	['público']
38	{'schedule': 'plan'}	Shows that the object will be activated automatically during the next scheduled data aging run for this object and the aging run is not scheduled for the selected data aging object.	Muestra que el objeto se activará automáticamente durante la próxima ejecución planificada de la operación de envejecimiento de datos para este objeto y la ejecución de la operación de envejecimiento de datos no está planificada para el objeto de envejecimiento de datos seleccionado.	['schedule']	{'schedule': 'planificada'}	['planificado']
39	{'save': 'guardar'}	Please note that date and time are not included when you save a filter variant.	Tenga en cuenta que la fecha y la hora no se incluyen cuando guarda una variante de filtro.	['save']	{'save': '▔'}	['▔']
40	{'default': 'predefinir'}	The attribute can be used to identify bank accounts that belong to the same defaultable counterparty.	El atributo puede utilizarse para identificar cuentas bancarias que pertenezcan al mismo contraparte predefinir.	['default']	{'default': 'predefinir'}	['predefinir']
41	{'reset': 'restablecer'}	Reset Availability Data	Restablecer datos de disponibilidad	['reset']	{'reset': 'Restablecer'}	['restablecer']
42	{'replenishment': 'reaprovisionamiento'}	The signal for replenishment is issued by an indicator, that is sent by a demand source (consumer) to the supply source (supplier).	La señal de reaprovisionamiento se emite por un indicador, que se envía por una fuente de demanda (consumidor) al suministrador.	['replenishment']	{'replenishment': 'reaprovisionamiento'}	['reaprovisionamiento']
43	{'tab': 'pestaña'}	Check the objects on the Business Builder and Data Builder tabs.	Compruebe los objetos en las pestañas Business Builder y Data Builder.	['tab']	{'tab': 'pestañas'}	['pestaña']
44	{'template': 'modelo'}	You can create a new template by specifying the content type, governing law, and language.	Puede crear un nuevo modelo especificando el tipo de contenido, la norma aplicable y el idioma.	['template']	{'template': 'modelo'}	['modelo']
45	{'process': 'procesar'}	You can define one or more preconditions that must be met before the credit memo request workflow can be processed.	Puede definir una o más condiciones previas que deben cumplirse antes de que el flujo de trabajo de la solicitud de crédito pueda procesarse.	['process']	{'process': 'procesarse'}	['procesar']
46	{'job': 'job'}	To change scheduled jobs	Para cambiar los trabajos programados	['job']	{'job': 'trabajos'}	['trabajo']
47	{'recurrence pattern': 'patrón de repetición'}	Define the recurrence pattern, such as daily or weekly	Definir el patrón de repetición, como diario o semanal	['recurrence pattern']	{'recurrence pattern': 'patrón de repetición'}	['patrón de repetición']
48	{'tab': 'pestaña'}	Use the tabs in the Data Preview panel to review and process the results.	Use las pestañas del panel de vista previa de datos para revisar y procesar los resultados.	['tab']	{'tab': 'pestañas'}	['pestaña']
49	{'completed': 'concluido'}	When you're displaying service confirmations assigned to a standard service order, you can use this button to release service confirmations that have status Completed for billing.	Cuando muestre confirmaciones de servicio asignadas a un pedido estándar de servicio, puede usar este botón para liberar confirmaciones de servicio que tengan el estado Completado para la facturación.	['completed']	{'completed': 'Completado'}	['completado']
50	{'reporting': 'informes'}	It provides a consolidation view along this segment hierarchy by populating the Segment Eliminated reporting dimension.	Proporciona una visión de consolidación en este nivel jerárquico de segmento al llenar la dimensión de informes de segmento eliminado.	['reporting']	{'reporting': 'informes'}	['informe']
51	{'save as': 'guardar como'}	Save As New Version:(Available for templates and text blocks)	Guardar como nueva versión: (Disponible para plantillas y bloques de texto)	['save as']	{'save as': 'Guardar como'}	['guardar como']
52	{'search result': 'resultado del proceso de búsqueda'}	You can use this field to filter your search results for the latest bank statements that you have received from your house bank accounts.	Puede usar este campo para filtrar los resultados de su búsqueda por los últimos recibos bancarios que ha recibido de sus cuentas bancarias.	['search result']	{'search result': 'resultados'}	['resultado']
53	{'schedule': 'programación'}	A schedule task is defined for this data flow.	Se define una tarea de programación para este flujo de datos.	['schedule']	{'schedule': 'programación'}	['programación']
54	{'job': 'job'}	To change scheduled jobs, do the following:	Para cambiar los trabajos programados, haga lo siguiente:	['job']	{'job': 'trabajos'}	['trabajo']
55	{'customer': 'deudor'}	Customer/supplier branch number	Número de sucursal de cliente/suministrador	['customer']	{'customer': 'cliente'}	['cliente']
56	{'recurrence pattern': 'patrón de repetición'}	Define the recurrence pattern of the job.	Define el patrón de repetición del trabajo.	['recurrence pattern']	{'recurrence pattern': 'patrón de repetición'}	['patrón de repetición']
57	{'substitute': 'suplente'}	Define your personal settings for email notifications and substitutes.	Definir tus ajustes personales para las notificaciones de correo electrónico y suplentes.	['substitute']	{'substitute': 'suplentes'}	['suplente']
