	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Статус каждого отдельного пространства можно увидеть из цветового кода на верхнем левом углу.	['space']	{'space': '▔'}	['▔ertrat<sos>']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ваш контракт включает в себя общее количество доступных единиц мощности в месяц, которые вы можете выделить по желанию вычислительных и запасных ресурсов.	['storage']	{'storage': '▔'}	['▔ertrat<sos>']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	поделиться ссылкой на СВР с другими пользователями с надлежащими правами редактирования	['share']	{'share': 'поделиться'}	['подеитьсen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	После того, как вы удалите ограничение для операции преемника, операция может быть перенаправлена автоматически.	['constraint']	{'constraint': '▔'}	['▔ertrat<sos>']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	До тех пор, пока вы не настроили арендатора, вы можете использовать только административные функции облака хранилища данных САП (но вы не можете создавать пространства на странице управления пространством).	['create']	{'create': '▔'}	['▔ertrat<sos>']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Все ресурсы в вашей области ответственности будут отображаться.	['area of responsibility']	{'area of responsibility': '▔'}	['▔ertrat<sos>']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Необходимые разрешения для репликации, основанной на триггере Оракула в Интеграции умных данных САП ХАНА и Руководство по установке и конфигурации качества смартфонов САП ГАНА	['trigger']	{'trigger': 'Триггере'}	['тригерen']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Интегрируйте учетную запись с вашим пространством, чтобы иметь возможность создавать связи для случаев подключения и использовать соединения для потоков данных.	['connector']	{'connector': '▔'}	['▔ertrat<sos>']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Группа по очистке платежей - это атрибут, с помощью которого вы можете классифицировать своих поставщиков и клиентов в группы.	['customer', 'supplier']	{'customer': '▔', 'supplier': '▔'}	['▔ertrat<sos>', '▔ertrat<sos>']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Выберите соответствующую контрольную коробку для компонентов МРП, ориентированных на спрос и / или материалов верхнего уровня.	['demand-driven']	{'demand-driven': '▔'}	['▔ertrat<sos>']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Нажмите Создать Лицензию, чтобы создать лицензию для одного или нескольких ваших продуктов данных и генерировать ключи активации, которые вы можете поделиться с потребителями, чтобы позволить им использовать лицензированный охват данных продуктов.	['create']	{'create': 'Создать'}	['соатьen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Контролируйте свой союз в разделе Мапингс его панели:	['side panel']	{'side panel': '▔'}	['▔ertrat<sos>']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Оценивается производительность модели версии с использованием двух основных показателей.	['indicator']	{'indicator': '▔'}	['▔ertrat<sos>']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Затем база данных должна решить, с какой работой или запросом следует сначала заниматься.	['query']	{'query': '▔'}	['▔ertrat<sos>']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Адрес, электронная почта, номер телефона и т.д. поставщика	['provider']	{'provider': '▔'}	['▔ertrat<sos>']
15	{'space': 'Space'}	The name should be unique within a space.	Название должно быть уникальным в пространстве.	['space']	{'space': '▔'}	['▔ertrat<sos>']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Показать идентификаторы счета клиентов между компаниями, счета клиентов и счета поставщиков между компаниями	['intercompany']	{'intercompany': '▔'}	['▔ertrat<sos>']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Чтобы заблокировать конкретное выпуск продукта данных, откройте историю выпуска выбранного продукта, выберите освобождение, которое вы хотите закрыть и выбрать чековый ящик.	['history', 'release']	{'history': '▔', 'release': '▔'}	['▔ertrat<sos>', '▔ertrat<sos>']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Это варьируется в зависимости от того, как поставщик данных предлагает свои продукты.	['data provider']	{'data provider': 'поставщик данных'}	['пооen данныen']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Создайте контроль доступа к данным для фильтрации данных в взглядах и объектах делового слоя по одному или нескольким критериям.	['access control']	{'access control': '▔'}	['▔ertrat<sos>']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Воспользуйтесь вашими любимыми поставщиками данных и продуктами данных.	['data provider']	{'data provider': '▔'}	['▔ertrat<sos>']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Выберите Фузи Матч, чтобы продемонстрировать раздел «Темпочки матча».	['section']	{'section': '▔'}	['▔ertrat<sos>']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Вы можете увидеть, какие продукты были выпущены в последний раз провайдером.	['provider']	{'provider': 'провайдером'}	['проenden']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Он поддерживается провайдером, и информация может отличаться от одного провайдера к другому.	['provider']	{'provider': '▔'}	['▔ertrat<sos>']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Чтобы заблокировать все выпуски продукта данных, выберите продукт и выбрать чековую коробку, запертую.	['release']	{'release': '▔'}	['▔ertrat<sos>']
