	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los containers HDI?	['container']	{'container': 'containers'}	['containers']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea usar procesamiento paralelo para este job:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	['procesamiento paralelo', 'job']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en la lista el report de elementos de facturación con o sin anticipos planificados.	['report']	{'report': 'report'}	['report']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad media en días de los activos en construcción, y los ítems individuales se listan a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección del software durante toda su vida útil.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es un ensamblaje, el desglose continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'desglose'}	['desglose']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un Nuevo Cliente OAuth (Centro de Datos No SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de computación proporciona un cierto número de vCPUs y un intervalo de 60 a 64 GB de RAM, dependiendo del proveedor de servicios en la nube.	['range']	{'range': 'intervalo'}	['intervalo']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de replicación SAP LT son compatibles hasta:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear un nuevo modelo, se le redirigirá a la página del modelo para agregar bloques de texto al modelo.	['template']	{'template': 'modelo'}	['modelo']
