	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decide si quieres usar procesamiento paralelo para esta tarea:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'tarea'}	['procesamiento paralelo', 'tarea']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	En la lista se muestran los elementos de facturación con o sin prepagos planificados.	['report']	{'report': 'lista'}	['lista']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad media en días de los activos en construcción, y los elementos individuales se listan a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección del software durante toda su vida útil.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es una asamblea, la explosión continúa al nivel más bajo.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Añadir un Nuevo Cliente OAuth (No Centro de Datos SAP)	['add']	{'add': 'Añadir'}	['añadir']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo proporciona un número determinado de vCPUs y una cantidad de RAM entre 60 y 64 GB, según el proveedor de servicios de la nube.	['range']	{'range': 'cantidad'}	['cantidad']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT se admiten hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear un nuevo modelo, se le dirigirá a la página del modelo, para agregar bloques de texto al modelo.	['template']	{'template': 'modelo'}	['modelo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Los datos se acceden directamente desde la fuente (federación) y se leen de la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar Generador de Residuos por Defecto	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'Restablece'}	['restablece']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar elementos existentes o conjuntos de elementos para agregar nuevos a los proyectos de adquisición.	['add']	{'add': 'agregar'}	['agregar']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos o incidentes individuales.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Use la lista desplegable en la esquina superior izquierda del cuadro de diálogo para seleccionar el modelo de búsqueda que quiera usar.	['template']	{'template': 'modelo'}	['modelo']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo ER en SAP HANA, seleccione Desplegar.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	"Confirme la acción de escritura y verifique que los elementos seleccionados hayan pasado de la pestaña ""A Cobrar"" a la pestaña ""A Escriturar""."	['write off', 'tab']	{'write off': 'escriturar', 'tab': 'pestaña'}	['escriturar', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Establece un plan de pagos si hay uno o más ítems abiertos en la cuenta de contrato de un socio comercial y el socio comercial no puede cumplir la obligación de pago dentro del ámbito de las normas de pago usuales.	['partner', 'rule']	{'partner': 'socio', 'rule': 'normas'}	['socio', 'norma']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se realiza la valoración y si se reinicia.	['reset']	{'reset': 'reinicia'}	['reinicia']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	"Elige ""Artículos de Parte de Servicio"" como categoría del artículo de la lista desplegable Mostrar."	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	"Para filtrar las operaciones de orden que están incluidas en un horario específico, agregue el filtro ""Incluido en horario"" a la barra de filtros."	['schedule']	{'schedule': 'horario'}	['horario']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo puede editar encabezados de unidades inactivas.	['edit']	{'edit': 'editar'}	['editar']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Esta vista general contiene todos los objetos de reparación que aún no se han completado.	['completed']	{'completed': 'completado'}	['completar']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausar la replicación en tiempo real para permitir la edición de las propiedades de la conexión.	['pause']	{'pause': 'Pausar'}	['pausar']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad empresarial para que esté disponible para su uso en modelos de hechos y modelos de consumo.	['use']	{'use': 'uso'}	['uso']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio del centro de trabajo solo es visible en tu calendario y no se ha guardado aún en el orden de mantenimiento.	['schedule']	{'schedule': 'calendario'}	['calendario']
