	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область заметок на левой стороне экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает число контракта, из которого можно выбрать элементы услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается в текущую дату, а поле «Возврат до» будет представлять собой стандартное количество дней, определенное в настройках (например, 30 дней для стандартного вида документа e-bgs), после даты передачи.	['type']	{'type': 'вида'}	['вид']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этого бюджетного настройки тем не менее интерпретируется по-разному для счетов, классифицированных как 'Expense' или 'выручка' типы.	['revenue']	{'revenue': 'выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить и/или Удалить) разрешены для каждого подузла, а также для корневого узла, отметив соответствующие галочки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах временного интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавлять закладки на свои любимые данные продукты или провайдеров.	['provider']	{'provider': 'провайдеров'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Перейти прямо к страницам объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'Перейти'}	['перейти']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает на вид предметов, которые вы хотите добавить в ваш проект.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	"Если вводовая запись соответствует более чем одному справочному записям с оценкой, достигающей этого порога, она помещается в категорию ""Множественные результаты""."	['input']	{'input': 'вводовая'}	['вводовый']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы автоматическая повторная обработка правила помещала ваши позиции банковского счета только в один этап, выберите 001 (Одноэтапное оформление) в качестве значения поля Вид процедуры.	['type']	{'type': '▔'}	['▔']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего объема, это приложение может проверять различные виды исходных документов в вашем предиктивном процессе учета.	['type']	{'type': 'виды'}	['вид']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Обычно цель ссылается на соответствующую правовую основу обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, который обозначает риск правового документа, если это обязательство не выполнено.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите осмысленный код, который поможет вам определить тип предложения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сеть с брандмауэром и прокси, необходимо предоставить общедоступный IPv4-адрес вашего прокси.	['public']	{'public': 'общедоступный'}	['общедоступный']
